PriceRange	stars	catagory	name	url
2.01428180164658	1.99559074635617	American	John Jay Dining Hall	http://www.yelp.com/biz/john-jay-dining-hall-new-york
2.03361358447	3.12609337503091	American	Africa Kine Restaurant	http://www.yelp.com/biz/africa-kine-restaurant-new-york
1.89406854338013	3.56730762668885	American	107 West Restaurant	http://www.yelp.com/biz/107-west-restaurant-new-york-2
1.98168477332219	3.56306622042321	American	Lyla's Cafe	http://www.yelp.com/biz/lylas-cafe-new-york
1.9011728270445	3.03630516463891	American	Elsabet Cafe	http://www.yelp.com/biz/elsabet-cafe-new-york
1.88458477561362	4.61315307826735	American	the 'dam	http://www.yelp.com/biz/the-dam-new-york
1.94204284143634	3.0929496968165	American	Stop 125	http://www.yelp.com/biz/stop-125-new-york
1.91396005279385	3.54936807239428	Indian	Indian Cafe	http://www.yelp.com/biz/indian-cafe-new-york-2
2.01268294942565	2.62129058777355	Indian	Ajanta	http://www.yelp.com/biz/ajanta-new-york
1.02194559737109	4.03968179984949	Indian	Roti Roll - Bombay Frankie	http://www.yelp.com/biz/roti-roll-bombay-frankie-new-york
0.995673005282879	4.08080860450864	Indian	Dosa Cart	http://www.yelp.com/biz/dosa-cart-new-york
1.98756096083671	3.63674367656931	Indian	Shahi Biryani & Grill	http://www.yelp.com/biz/shahi-biryani-and-grill-manhattan
0.924917427869514	3.0056525696069	Indian	Vegenation	http://www.yelp.com/biz/vegenation-manhattan
0.961209450382739	3.46895165629685	Chinese	East Dumpling House	http://www.yelp.com/biz/east-dumpling-house-new-york
1.01785300238989	3.0658958053682	Chinese	Panda Garden Chinese Restaurant	http://www.yelp.com/biz/panda-garden-chinese-restaurant-manhattan
1.00608631041832	3.50903073856607	Chinese	Szechuan Garden Kitchen	http://www.yelp.com/biz/szechuan-garden-kitchen-new-york
0.92096056654118	3.55028306203894	Chinese	Hunan's Kitchen	http://www.yelp.com/biz/hunans-kitchen-new-york
1.93032166007906	2.15282625141554	Chinese	China Place	http://www.yelp.com/biz/china-place-new-york
1.89632002185099	2.09154900279827	Chinese	Ollie's	http://www.yelp.com/biz/ollies-new-york
1.04387095612474	3.14711052672937	Chinese	West Place	http://www.yelp.com/biz/west-place-new-york
0.917616087384522	2.4862291791942	Chinese	Empire Corner Restaurant	http://www.yelp.com/biz/empire-corner-restaurant-new-york
1.97308932039887	3.09843318387866	Chinese	Columbia Cottage	http://www.yelp.com/biz/columbia-cottage-new-york
0.906682369438931	3.48534868936986	Chinese	New Aroma Chinese Restaurant	http://www.yelp.com/biz/new-aroma-chinese-restaurant-new-york
0.937210734607652	3.47572425985709	Chinese	Wai Lee Chinese Restaurant	http://www.yelp.com/biz/wai-lee-chinese-restaurant-new-york
0.958969706855714	3.10731520182453	Chinese	Peking Garden	http://www.yelp.com/biz/peking-garden-new-york-2
0.873175092181191	2.53301368295215	Chinese	Concord Garden Restaurant	http://www.yelp.com/biz/concord-garden-restaurant-new-york
1.94257511366159	1.60130866672844	Japanese	Hana Sushi	http://www.yelp.com/biz/hana-sushi-manhattan
1.89968129363842	3.63825804651715	Japanese	Saji Japan Food Enterprises	http://www.yelp.com/biz/saji-japan-food-enterprises-new-york
2.0213949973695	3.0898642713204	Japanese	Saga	http://www.yelp.com/biz/saga-new-york-4
1.88589681871235	2.61702719419263	Japanese	Caffe Swish	http://www.yelp.com/biz/caffe-swish-new-york
2.07063194895163	2.13680662815459	Japanese	China Place	http://www.yelp.com/biz/china-place-new-york
0.941519756242633	3.96735179494135	Japanese	M2M	http://www.yelp.com/biz/m2m-new-york-2
1.97288853907958	2.55911442632787	Japanese	Vine: Sushi & Sake	http://www.yelp.com/biz/vine-sushi-and-sake-new-york
