RegionName,Time,Rent,Sales
"Philadelphia, PA",2012-10,992,239300
"Philadelphia, PA",2012-11,993.5,240300
"Philadelphia, PA",2012-12,950,241200
"Philadelphia, PA",2013-01,925,242200
"Philadelphia, PA",2013-02,950,243300
"Philadelphia, PA",2013-03,975,243700
"Philadelphia, PA",2013-04,985,243900
"Philadelphia, PA",2013-05,1050,244300
"Philadelphia, PA",2013-06,1000,245500
"Philadelphia, PA",2013-07,975,247900
"Philadelphia, PA",2013-08,950,250600
"Philadelphia, PA",2013-09,950,253300
"Philadelphia, PA",2013-10,950,255900
"Philadelphia, PA",2013-11,990,257700
"Philadelphia, PA",2013-12,975,258700
"Philadelphia, PA",2014-01,925,260000
"Philadelphia, PA",2014-02,940,261600
"Philadelphia, PA",2014-03,950,262400
"Philadelphia, PA",2014-04,975,262100
"Philadelphia, PA",2014-05,1100,262200
"Philadelphia, PA",2014-06,1100,262200
"Philadelphia, PA",2014-07,1100,261800
"Philadelphia, PA",2014-08,1095,261200
"Philadelphia, PA",2014-09,1035,260800
"Philadelphia, PA",2014-10,1050,260100
"Philadelphia, PA",2014-11,1010,259600
"Philadelphia, PA",2014-12,995,259300
"Philadelphia, PA",2015-01,1000,259200
"Philadelphia, PA",2015-02,1010,259000
"Philadelphia, PA",2015-03,1050,259300
"Philadelphia, PA",2015-04,1120,259600
"Philadelphia, PA",2015-05,1100,259800
"Philadelphia, PA",2015-06,1100,260100
"Philadelphia, PA",2015-07,1080,260700
"Philadelphia, PA",2015-08,1096.5,261500
"Philadelphia, PA",2015-09,1075,262200
"Washington, DC",2010-03,1315,318500
"Washington, DC",2010-04,1400,319100
"Washington, DC",2010-05,1350,320000
"Washington, DC",2010-06,1397,320900
"Washington, DC",2010-07,1400,321400
"Washington, DC",2010-08,1380,322000
"Washington, DC",2010-09,1400,322500
"Washington, DC",2010-10,1400,322700
"Washington, DC",2010-11,1400,322700
"Washington, DC",2010-12,1415,322600
"Washington, DC",2011-01,1425,321800
"Washington, DC",2011-02,1400,320900
"Washington, DC",2011-03,1400,319800
"Washington, DC",2011-04,1425,318900
"Washington, DC",2011-05,1430,318300
"Washington, DC",2011-06,1465,317200
"Washington, DC",2011-07,1500,315900
"Washington, DC",2011-08,1725,315500
"Washington, DC",2011-09,1784,315500
"Washington, DC",2011-10,1758,315700
"Washington, DC",2011-11,1615,316500
"Washington, DC",2011-12,1639.5,318000
"Washington, DC",2012-01,1655,319300
"Washington, DC",2012-02,1694,320600
"Washington, DC",2012-03,1745,321900
"Washington, DC",2012-04,1746.5,323300
"Washington, DC",2012-05,1765,324600
"Washington, DC",2012-06,1795,326200
"Washington, DC",2012-07,1780,327600
"Washington, DC",2012-08,1710,328400
"Washington, DC",2012-09,1709,328900
"Washington, DC",2012-10,1705,329900
"Washington, DC",2012-11,1695,331700
"Washington, DC",2012-12,1720,333400
"Washington, DC",2013-01,1726,334300
"Washington, DC",2013-02,1723,334400
"Washington, DC",2013-03,1740,335000
"Washington, DC",2013-04,1699,336300
"Washington, DC",2013-05,1614,338000
"Washington, DC",2013-06,1650,340700
"Washington, DC",2013-07,1622,344100
"Washington, DC",2013-08,1695,347300
"Washington, DC",2013-09,1695,350200
"Washington, DC",2013-10,1683,352800
"Washington, DC",2013-11,1673.5,354300
"Washington, DC",2013-12,1640,355800
"Washington, DC",2014-01,1655,357900
"Washington, DC",2014-02,1649,359400
"Washington, DC",2014-03,1630,361000
"Washington, DC",2014-04,1649,363600
"Washington, DC",2014-05,1692,365000
"Washington, DC",2014-06,1700,364000
"Washington, DC",2014-07,1783,362900
"Washington, DC",2014-08,1800,362300
"Washington, DC",2014-09,1705,361600
"Washington, DC",2014-10,1690,360600
"Washington, DC",2014-11,1689,359500
"Washington, DC",2014-12,1692,358200
"Washington, DC",2015-01,1690,358000
"Washington, DC",2015-02,1725,360100
"Washington, DC",2015-03,1718,362900
"Washington, DC",2015-04,1745,364100
"Washington, DC",2015-05,1730,364500
"Washington, DC",2015-06,1740,365600
"Washington, DC",2015-07,1725,367100
"Washington, DC",2015-08,1730,368600
"Washington, DC",2015-09,1700,370100
"Atlanta, GA",2010-02,999.5,132200
"Atlanta, GA",2010-03,975,131300
"Atlanta, GA",2010-04,1000,130000
"Atlanta, GA",2010-05,1000,129100
"Atlanta, GA",2010-06,1050,128600
"Atlanta, GA",2010-07,1000,127600
"Atlanta, GA",2010-08,900,126500
"Atlanta, GA",2010-09,900,125600
"Atlanta, GA",2010-10,950,124100
"Atlanta, GA",2010-11,971.5,122400
"Atlanta, GA",2010-12,950,120900
"Atlanta, GA",2011-01,875,119300
"Atlanta, GA",2011-02,925,117500
"Atlanta, GA",2011-03,909.5,115800
"Atlanta, GA",2011-04,900,114200
"Atlanta, GA",2011-05,882.5,112300
"Atlanta, GA",2011-06,856.5,109500
"Atlanta, GA",2011-07,850,106500
"Atlanta, GA",2011-08,875,104000
"Atlanta, GA",2011-09,892.5,101600
"Atlanta, GA",2011-10,810.5,99600
"Atlanta, GA",2011-11,812.5,98600
"Atlanta, GA",2011-12,835,98300
"Atlanta, GA",2012-01,799,97900
"Atlanta, GA",2012-02,836.5,97600
"Atlanta, GA",2012-03,797,97500
"Atlanta, GA",2012-04,795,97900
"Atlanta, GA",2012-05,825,98200
"Atlanta, GA",2012-06,830,98400
"Atlanta, GA",2012-07,835,98800
"Atlanta, GA",2012-08,855,99800
"Atlanta, GA",2012-09,830,101100
"Atlanta, GA",2012-10,845,102400
"Atlanta, GA",2012-11,822,103600
"Atlanta, GA",2012-12,810,104600
"Atlanta, GA",2013-01,802,105800
"Atlanta, GA",2013-02,795,107200
"Atlanta, GA",2013-03,795,108600
"Atlanta, GA",2013-04,799,109700
"Atlanta, GA",2013-05,825,110800
"Atlanta, GA",2013-06,818,112900
"Atlanta, GA",2013-07,835,115700
"Atlanta, GA",2013-08,840,117800
"Atlanta, GA",2013-09,899.5,119400
"Atlanta, GA",2013-10,975,121700
"Atlanta, GA",2013-11,940,123900
"Atlanta, GA",2013-12,998,125100
"Atlanta, GA",2014-01,1033,126100
"Atlanta, GA",2014-02,1007.5,127400
"Atlanta, GA",2014-03,1015.5,128900
"Atlanta, GA",2014-04,1024,131000
"Atlanta, GA",2014-05,1016,133200
"Atlanta, GA",2014-06,1045,135200
"Atlanta, GA",2014-07,1050,137100
"Atlanta, GA",2014-08,1025,138800
"Atlanta, GA",2014-09,1050,139600
"Atlanta, GA",2014-10,1023.5,140400
"Atlanta, GA",2014-11,1027,141700
"Atlanta, GA",2014-12,1028,143300
"Atlanta, GA",2015-01,1050,144800
"Atlanta, GA",2015-02,1079.5,146100
"Atlanta, GA",2015-03,1075,147800
"Atlanta, GA",2015-04,1075,149600
"Atlanta, GA",2015-05,1110,151500
"Atlanta, GA",2015-06,1139,153300
"Atlanta, GA",2015-07,1140,154400
"Atlanta, GA",2015-08,1150,155600
"Atlanta, GA",2015-09,1139,157400
"Boston, MA",2011-07,1650,310600
"Boston, MA",2011-08,1670,309500
"Boston, MA",2011-09,1700,308000
"Boston, MA",2011-10,1650,307700
"Boston, MA",2011-11,1650,309600
"Boston, MA",2011-12,1640,312400
"Boston, MA",2012-01,1623.5,314600
"Boston, MA",2012-02,1634.5,316500
"Boston, MA",2012-03,1650,319300
"Boston, MA",2012-04,1700,322800
"Boston, MA",2012-05,1790,325900
"Boston, MA",2012-06,1733,328100
"Boston, MA",2012-07,1700,330100
"Boston, MA",2012-08,1675,332200
"Boston, MA",2012-09,1711,334300
"Boston, MA",2012-10,1700,336300
"Boston, MA",2012-11,1735,337900
"Boston, MA",2012-12,1750,340100
"Boston, MA",2013-01,1780,343000
"Boston, MA",2013-02,1750,346900
"Boston, MA",2013-03,1750.5,351000
"Boston, MA",2013-04,1795,355600
"Boston, MA",2013-05,1800,360900
"Boston, MA",2013-06,1800,366100
"Boston, MA",2013-07,1850,370700
"Boston, MA",2013-08,1865,375600
"Boston, MA",2013-09,1876,380900
"Boston, MA",2013-10,1892,385300
"Boston, MA",2013-11,1895,390000
"Boston, MA",2013-12,1850,394900
"Boston, MA",2014-01,1825,398800
"Boston, MA",2014-02,1850,401500
"Boston, MA",2014-03,1850,403500
"Boston, MA",2014-04,1850,404700
"Boston, MA",2014-05,1873.5,404800
"Boston, MA",2014-06,1900,404500
"Boston, MA",2014-07,1900,403600
"Boston, MA",2014-08,1900,401500
"Boston, MA",2014-09,1875,399100
"Boston, MA",2014-10,1900,398600
"Boston, MA",2014-11,1900,400200
"Boston, MA",2014-12,1900,403100
"Boston, MA",2015-01,1950,408100
"Boston, MA",2015-02,1925,415900
"Boston, MA",2015-03,1925,424300
"Boston, MA",2015-04,1950,428800
"Boston, MA",2015-05,1950,429200
"Boston, MA",2015-06,1950,428700
"Boston, MA",2015-07,1995,429400
"Boston, MA",2015-08,2000,432400
"Boston, MA",2015-09,2000,437100
"San Francisco, CA",2010-10,1195,510300
"San Francisco, CA",2010-11,1241,509700
"San Francisco, CA",2010-12,1240,510000
"San Francisco, CA",2011-01,1300,510700
"San Francisco, CA",2011-02,1345,508600
"San Francisco, CA",2011-03,1325,503600
"San Francisco, CA",2011-04,1395,499800
"San Francisco, CA",2011-05,1399,499700
"San Francisco, CA",2011-06,1450,500800
"San Francisco, CA",2011-07,1500,501100
"San Francisco, CA",2011-08,1595,501400
"San Francisco, CA",2011-09,1650,500500
"San Francisco, CA",2011-10,1595,497700
"San Francisco, CA",2011-11,1609,496000
"San Francisco, CA",2011-12,1688.5,497000
"San Francisco, CA",2012-01,1639,498800
"San Francisco, CA",2012-02,1657,502900
