,foodkey,business_id,category,description,name,photo_num,photo_url,prices,restaurant,review_num,review_url,src
191,2611,9aEtX7MDFjEtm5ySOViRUw,Sushi / Sashimi Assortments,"Spicy roll and 5 pieces of nigiri sushi including tuna, salmon, shrimp, eel and yellow tail.",Sushi Medley* **,1,/menu/jado-sushi-new-york/item/sushi-medley,25.00,Jado Sushi,1,/menu/jado-sushi-new-york/item/sushi-medley#menu-reviews,http://s3-media4.fl.yelpassets.com/bphoto/QvYM_FzQevmeyhpfei2ZkA/180s.jpg
192,2613,9aEtX7MDFjEtm5ySOViRUw,Sushi / Sashimi Assortments,Assortment of fresh fish of the day.,Sashimi* **,3,/menu/jado-sushi-new-york/item/sashimi,28.00,Jado Sushi,8,/menu/jado-sushi-new-york/item/sashimi#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/rWO-jkDzTJBVoHul1zxHTw/180s.jpg
193,2618,9aEtX7MDFjEtm5ySOViRUw,Happy Ending,Sponge cake soaked in three-­milk sauce topped with fresh mango.,Tres Leches,1,/menu/jado-sushi-new-york/item/tres-leches,7.00,Jado Sushi,1,/menu/jado-sushi-new-york/item/tres-leches#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/Z3pTngVwgc5b7RoRweZniA/180s.jpg
194,2619,9aEtX7MDFjEtm5ySOViRUw,Happy Ending,"Peanut butter cream, chocolate ganache in graham cracker shell.",Peanut Butter Pie,1,/menu/jado-sushi-new-york/item/peanut-butter-pie,8.00,Jado Sushi,1,/menu/jado-sushi-new-york/item/peanut-butter-pie#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/JrBOua8Iho-hQXjAXl6XGQ/180s.jpg
196,2700,wxrlMnjni_UanASIp4dq2g,Salads,"baby spinach, goat cheese, mango, avocado and extra virgin olive oil",Goat,2,/menu/max-caffe-new-york/item/goat,10.95,Max Café,3,/menu/max-caffe-new-york/item/goat#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/ohO204NrxQXZFC752xA-XQ/180s.jpg
197,2705,wxrlMnjni_UanASIp4dq2g,Specials,turkey and spinach with a fig and goat cheese spread,Turkey Fig Panino,2,/menu/max-caffe-new-york/item/turkey-fig-panino,8.95,Max Café,2,/menu/max-caffe-new-york/item/turkey-fig-panino#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/bq0syWdk4UUKF6vUz9B8QA/180s.jpg
198,2736,tbg4gR3jUUllR28cySo2kg,Appetizers,Pastry shells filled with spiced mixed vegetables or lentils.,Vegetable Sambusa,1,/menu/awash-ethiopian-restaurant-new-york-2/item/vegetable-sambusa,$8.00,Awash,6,/menu/awash-ethiopian-restaurant-new-york-2/item/vegetable-sambusa#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/KHO18H-vnOvc39Vw15bXTg/180s.jpg
199,2737,tbg4gR3jUUllR28cySo2kg,Appetizers,Pastry shells filled with spiced chopped beef or chicken.,Meat Sambusa,1,/menu/awash-ethiopian-restaurant-new-york-2/item/meat-sambusa,$8.00,Awash,3,/menu/awash-ethiopian-restaurant-new-york-2/item/meat-sambusa#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/3CfRr7kdtqX-ken1fqvBAg/180s.jpg
201,2756,tbg4gR3jUUllR28cySo2kg,Beef Entrees,"Succulent beef cubes marinated in a spicy sauce and seasoned with peppers, spices and onions.",Special Tibs,1,/menu/awash-ethiopian-restaurant-new-york-2/item/special-tibs,$15.00,Awash,20,/menu/awash-ethiopian-restaurant-new-york-2/item/special-tibs#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/pbGjmCGQ7O1ekJscPPoG7Q/180s.jpg
202,2767,tbg4gR3jUUllR28cySo2kg,Combination Entrees,Vegetarian combination.,Combo 3,2,/menu/awash-ethiopian-restaurant-new-york-2/item/combo-3,$18.00,Awash,1,/menu/awash-ethiopian-restaurant-new-york-2/item/combo-3#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/KHO18H-vnOvc39Vw15bXTg/180s.jpg
