Borough,FIPS Code,NTACode,NTAName,Pop2010,TotalUnits2010,VacantUnits2010,PerVacantUnitsDec,PerVacantUnits
Staten Island,85,SI08,Grymes Hill-Clifton-Fox Hills,22460,8181,364,0.044493338,4%
Staten Island,85,SI11,Charleston-Richmond Valley-Tottenville,23313,8389,593,0.070687805,7%
Staten Island,85,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,31474,10718,658,0.061392051,6%
Staten Island,85,SI14,Grasmere-Arrochar-Ft. Wadsworth,16079,6247,411,0.06579158,7%
Staten Island,85,SI22,West New Brighton-New Brighton-St. George,33551,13470,1444,0.107201188,11%
Staten Island,85,SI24,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,30714,12095,811,0.067052501,7%
Staten Island,85,SI25,Oakwood-Oakwood Beach,22049,8698,385,0.044263049,4%
Staten Island,85,SI28,Port Richmond,20191,6887,415,0.060258458,6%
Staten Island,85,SI32,Rossville-Woodrow,20763,7694,425,0.055237848,6%
Staten Island,85,SI35,New Brighton-Silver Lake,17525,6748,506,0.074985181,7%
Staten Island,85,SI36,Old Town-Dongan Hills-South Beach,24835,9526,492,0.051648121,5%
Staten Island,85,SI37,Stapleton-Rosebank,26453,9886,910,0.092049363,9%
Staten Island,85,SI45,New Dorp-Midland Beach,21896,8678,581,0.06695091,7%
Staten Island,85,SI48,Arden Heights,25238,9199,406,0.044135232,4%
Staten Island,85,SI54,Great Kills,40720,15832,821,0.051856998,5%
Staten Island,85,SI99,park-cemetery-etc-Staten Island,0,0,0,0,N/A
