Month,Latitude,Longitude,PersonsKilled
October,40.8147666,-73.9187438,1
October,40.869274,-73.9013438,1
November,40.5166242,-74.202785,1
November,40.6054518,-73.8985502,1
November,40.636228,-73.8859432,1
November,40.6475955,-73.9735026,1
November,40.6561603,-73.7673526,1
November,40.6611218,-73.9201276,1
November,40.6700692,-73.8686795,1
November,40.6870226,-73.7659469,1
November,40.6977606,-73.9687403,1
November,40.7207095,-73.9813092,1
November,40.7216331,-73.9935279,1
November,40.7367512,-73.7110283,1
November,40.738325,-73.8855916,1
November,40.7639417,-73.8281463,1
November,40.7816671,-73.9866887,1
November,40.8063543,-73.9539551,1
November,40.8321617,-73.8722261,1
November,40.8367707,-73.8859644,1
November,40.8556199,-73.8332241,1
December,40.5239976,-74.1860995,1
December,40.6093572,-74.0152238,1
December,40.6220219,-73.9872553,1
December,40.6364471,-73.9451224,1
December,40.6387858,-73.9453727,1
December,40.6700084,-73.9532706,1
December,40.6881494,-73.8488335,1
December,40.7205375,-73.7762082,1
December,40.7604644,-73.8265417,1
December,40.7756005,-73.9563341,1
December,40.8048862,-73.9624735,1
